t,i,j,k,v,q
2022,40,32,970610,8.951,        0.250
2022,40,36,970610,62.233,        0.088
2022,40,56,970610,2.92,        0.011
2022,40,100,970610,0.398,        0.001
2022,40,124,970610,72.395,        0.021
2022,40,156,970610,233.325,        0.094
2022,40,191,970610,1.885,        0.006
2022,40,196,970610,1.237,        0.004
2022,40,203,970610,7.702,        0.018
2022,40,208,970610,1.531,        0.001
2022,40,233,970610,0.31,        0.002
2022,40,246,970610,0.2,        0.001
2022,40,251,970610,125.54,        0.169
2022,40,276,970610,83.202,        0.078
2022,40,300,970610,1.869,        0.005
2022,40,344,970610,1143.926,        1.112
2022,40,348,970610,13.871,        0.026
2022,40,372,970610,4.08,        0.011
2022,40,376,970610,56.432,        0.002
2022,40,380,970610,36.132,        0.045
2022,40,392,970610,254.361,        0.031
2022,40,410,970610,1.028,        0.004
2022,40,440,970610,0.164,        0.001
2022,40,442,970610,0.269,        0.001
2022,40,490,970610,231.12,        0.066
2022,40,528,970610,13.628,        0.022
2022,40,579,970610,0.776,        0.009
2022,40,616,970610,5.542,        0.020
2022,40,620,970610,3.874,        0.011
2022,40,642,970610,2.847,        0.011
2022,40,643,970610,8.62,        0.006
2022,40,699,970610,34.536,        0.095
2022,40,703,970610,1.873,        0.008
2022,40,705,970610,3.686,        0.004
2022,40,724,970610,6.31,        0.018
2022,40,752,970610,0.805,        0.003
2022,40,757,970610,444.043,        0.719
2022,40,792,970610,4.16,        0.001
2022,40,826,970610,828.397,        0.351
2022,40,842,970610,1571.229,        4.307
