Importer,Total Value
8,9.861
20,5.506
31,36.322
32,189.102
36,7793.485
40,6959.960000000001
48,1261.697
51,3.3
56,7556.212
60,15.034
76,15.084
92,181.102
100,33.988
104,2.418
116,5850.0
124,4052.785
136,41.121
152,323.69899999999996
156,4546.407000000001
188,1.309
191,12.286000000000001
196,235.52800000000002
203,503.99
208,1676.0140000000001
214,5.66
233,11.259
246,640.582
251,56295.373
268,9.129
276,9681.224
292,7.858
300,19125.504
320,18.959
344,220072.68300000002
348,72.312
352,0.11499999999999999
360,13.876
368,0.23
372,1316.0300000000002
376,11887.993000000002
380,4134.34
392,23259.965
400,3.774
410,4660.807000000001
414,311.418
422,9544.934000000001
428,2.677
440,41.714000000000006
442,39.484
446,1161.264
458,4612.843
462,0.116
470,196.42000000000002
484,349.555
490,37475.402
496,3.451
504,879.036
512,2057.7920000000004
516,2.3520000000000003
524,525.0
528,51378.406999999985
533,27.926
554,675.6110000000001
558,4.93
566,44.109
579,668.849
585,6.723
586,7820.0
591,27.427
604,20.431
616,924.4450000000002
620,439.34
634,21933.833
642,31.868000000000002
643,145.072
682,2283.876
688,118.08200000000001
699,5394.602
702,11052.028000000002
703,43.647000000000006
704,724.7810000000001
705,52.760999999999996
710,128.864
724,4940.912
752,484.984
757,82240.59300000001
764,992.444
784,28522.032999999996
792,956.5490000000001
800,2.182
804,24.384999999999998
826,146383.294
842,273964.84300000005
860,980.459
887,2.514
