t,i,j,k,v,q
2022,702,36,970690,113.219,           NA
2022,702,56,970690,1.517,        0.001
2022,702,124,970690,4.361,        0.001
2022,702,251,970690,4.242,        0.005
2022,702,276,970690,1.014,        0.004
2022,702,344,970610,1668.771,        0.002
2022,702,344,970690,1411.518,        0.010
2022,702,360,970610,0.174,        0.001
2022,702,360,970690,12.904,        0.031
2022,702,458,970610,72.534,        0.005
2022,702,458,970690,42.352,           NA
2022,702,528,970690,3.317,        0.001
2022,702,699,970610,211.497,        0.045
2022,702,704,970690,24.753,           NA
2022,702,757,970610,3.252,        0.007
2022,702,757,970690,2030.291,        1.155
2022,702,784,970690,0.434,           NA
2022,702,826,970610,19.34,        0.006
2022,702,826,970690,15.095,        0.050
2022,702,842,970690,153.756,        0.056
