t,i,j,k,v,q
2022,40,752,970610,0.805,        0.003
2022,124,752,970610,0.19,           NA
2022,156,752,970610,6.411,           NA
2022,251,752,970610,8.146,        2.889
2022,276,752,970610,7.15,        0.006
2022,380,752,970610,0.197,        0.001
2022,392,752,970610,9.669,           NA
2022,410,752,970610,0.094,           NA
2022,528,752,970610,0.018,           NA
2022,579,752,970610,8.661,        0.135
2022,643,752,970610,0.692,           NA
2022,757,752,970610,52.896,           NA
2022,826,752,970610,341.743,        0.864
2022,842,752,970610,48.312,        0.044
